ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11003531,JA331746,7/2/2017 17:00,003XX E 71ST ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,322,3,6,69,04A,1179971,1858027,2017,7/9/2017 15:51,41.7656969,-87.61590308,"(41.765696901, -87.615903076)"
11003529,JA331559,7/2/2017 13:30,035XX W BELDEN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,1413,14,26,22,08B,1152297,1915058,2017,7/9/2017 15:51,41.92278565,-87.71583511,"(41.922785648, -87.715835109)"
11003526,JA331804,7/2/2017 14:26,028XX N WESTERN AVE,560,ASSAULT,SIMPLE,CTA BUS STOP,FALSE,FALSE,1432,14,1,21,08A,1159867,1918701,2017,7/9/2017 15:51,41.93262934,-87.68791963,"(41.932629338, -87.687919626)"
11003509,JA331736,7/2/2017 16:21,070XX S PAULINA ST,1661,GAMBLING,GAME/DICE,SIDEWALK,TRUE,FALSE,735,7,17,67,19,1166228,1858016,2017,7/9/2017 15:51,41.76597023,-87.66627599,"(41.765970227, -87.666275989)"
11003485,JA331738,7/2/2017 15:00,016XX N CLARK ST,810,THEFT,OVER $500,SIDEWALK,FALSE,FALSE,1814,18,43,7,6,1175164,1911183,2017,7/9/2017 15:51,41.9116699,-87.63193118,"(41.911669895, -87.631931184)"
11003481,JA331457,7/2/2017 12:45,066XX S SEELEY AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,726,7,15,67,08B,1163837,1860700,2017,7/9/2017 15:51,41.77338604,-87.67496456,"(41.77338604, -87.674964556)"
11003479,JA331691,7/2/2017 15:25,057XX S RACINE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,713,7,16,67,08B,1169298,1866822,2017,7/9/2017 15:51,41.79006908,-87.65476868,"(41.79006908, -87.654768679)"
11003476,JA331485,7/2/2017 12:40,065XX S WINCHESTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,726,7,15,67,14,1164483,1861249,2017,7/9/2017 15:51,41.77487898,-87.672581,"(41.774878975, -87.672580999)"
11003474,JA331689,7/2/2017 12:00,048XX W HUBBARD ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,TRUE,1532,15,28,25,08A,1144162,1902574,2017,7/9/2017 15:51,41.88868505,-87.74604012,"(41.888685049, -87.746040124)"
11003466,JA331711,7/2/2017 16:00,045XX S LAMON AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,814,8,23,56,08A,1144455,1874059,2017,7/9/2017 15:51,41.81043051,-87.74568071,"(41.810430512, -87.745680711)"
11003463,JA331696,7/2/2017 16:15,072XX S ARTESIAN AVE,1661,GAMBLING,GAME/DICE,ALLEY,TRUE,FALSE,832,8,18,66,19,1161297,1856534,2017,7/9/2017 15:51,41.76200692,-87.68439088,"(41.76200692, -87.684390878)"
