ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11003103,JA331088,7/2/2017 3:25,095XX S CHAPPEL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,431,4,7,51,14,1191519,1841894,2017,7/9/2017 15:51,41.72115439,-87.57409821,"(41.721154392, -87.574098209)"
11003100,JA331139,7/2/2017 4:00,022XX W FOSTER AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,VEHICLE - OTHER RIDE SERVICE,FALSE,FALSE,2012,20,40,4,17,1160569,1934495,2017,7/9/2017 15:51,41.9759544,-87.68490069,"(41.9759544, -87.68490069)"
11003099,JA331054,7/2/2017 2:10,008XX W 33RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,913,9,11,60,14,1171365,1883147,2017,7/9/2017 15:51,41.83482151,-87.64671131,"(41.83482151, -87.646711313)"
11003098,JA331148,7/2/2017 0:00,057XX W WAVELAND AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,FALSE,FALSE,1633,16,38,15,7,1137411,1924021,2017,7/9/2017 15:51,41.9476622,-87.77031561,"(41.947662197, -87.770315606)"
11003096,JA331119,7/2/2017 3:41,030XX N LARAMIE AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,STREET,FALSE,TRUE,2521,25,31,19,04B,1141169,1919900,2017,7/9/2017 15:51,41.9362852,-87.75660383,"(41.936285204, -87.756603834)"
11003095,JA331062,7/2/2017 2:05,020XX W 63RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,726,7,15,67,15,1163950,1862859,2017,7/9/2017 15:51,41.77930825,-87.67448969,"(41.779308251, -87.674489688)"
11003094,JA331007,7/2/2017 1:20,018XX N HOYNE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,FALSE,FALSE,1434,14,32,22,14,1162058,1912580,2017,7/9/2017 15:51,41.91578737,-87.68003931,"(41.915787368, -87.680039312)"
11003093,JA331050,7/2/2017 2:30,039XX W CONGRESS PKWY,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1132,11,24,26,5,1150278,1897404,2017,7/9/2017 15:51,41.87438094,-87.72371456,"(41.874380941, -87.723714558)"
11003091,JA331071,7/2/2017 2:46,029XX W HARRISON ST,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,FALSE,FALSE,1135,11,2,27,04B,1156930,1897228,2017,7/9/2017 15:51,41.87376574,-87.69929605,"(41.873765737, -87.699296047)"
11003090,JA331080,7/2/2017 3:00,023XX N MILWAUKEE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1414,14,35,22,14,1156774,1915585,2017,7/9/2017 15:51,41.92414213,-87.69937076,"(41.924142132, -87.699370763)"
