ID,ID2,GEOID,Tot_Homes,7500,12500,17500,22500,27500,32500,37500,45000,55000,65000,75000,85000,95000,112500,137500,162500,187500,225000,275000,350000,450000,625000,875000,1250000,1750000,2000000,Avg_Value
1500000US170310202002,170310202002,"Block Group 2, Census Tract 202, Cook County, Illinois",187,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,48,9,34,31,13,0,0,0,0,0,"$229,545.45"
1500000US170310202003,170310202003,"Block Group 3, Census Tract 202, Cook County, Illinois",537,0,0,0,20,0,0,0,0,0,0,0,17,0,0,0,21,0,98,22,278,63,18,0,0,0,0,"$317,146.18"
1500000US170310202004,170310202004,"Block Group 4, Census Tract 202, Cook County, Illinois",482,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,55,0,13,118,134,142,0,0,0,0,0,"$325,337.14"
1500000US170310203011,170310203011,"Block Group 1, Census Tract 203.01, Cook County, Illinois",628,0,0,0,0,0,10,7,16,24,62,76,36,35,115,36,108,24,70,9,0,0,0,0,0,0,0,"$122,460.19"
1500000US170310203012,170310203012,"Block Group 2, Census Tract 203.01, Cook County, Illinois",266,0,0,11,0,8,0,0,7,0,0,24,0,7,32,0,16,0,30,26,79,19,7,0,0,0,0,"$240,103.38"
1500000US170310203013,170310203013,"Block Group 3, Census Tract 203.01, Cook County, Illinois",395,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,8,7,40,49,116,89,45,29,0,0,0,"$405,107.59"
1500000US170310203021,170310203021,"Block Group 1, Census Tract 203.02, Cook County, Illinois",160,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16,13,6,0,68,35,0,0,0,0,0,"$294,046.88"
1500000US170310203022,170310203022,"Block Group 2, Census Tract 203.02, Cook County, Illinois",247,0,0,0,0,0,0,0,0,0,0,0,17,0,25,0,9,0,0,36,134,15,11,0,0,0,0,"$308,279.35"
1500000US170310203023,170310203023,"Block Group 3, Census Tract 203.02, Cook County, Illinois",523,0,0,0,0,0,0,0,0,0,0,11,13,21,16,11,47,22,35,30,205,54,34,24,0,0,0,"$331,596.56"
1500000US170310204001,170310204001,"Block Group 1, Census Tract 204, Cook County, Illinois",171,0,0,0,0,0,0,0,0,0,0,0,8,0,7,8,26,8,26,0,51,29,8,0,0,0,0,"$292,646.20"
1500000US170310204002,170310204002,"Block Group 2, Census Tract 204, Cook County, Illinois",348,0,0,0,0,0,0,0,16,0,0,15,0,0,19,0,33,23,39,91,84,8,20,0,0,0,0,"$267,119.25"
1500000US170310204003,170310204003,"Block Group 3, Census Tract 204, Cook County, Illinois",298,0,10,0,0,0,0,0,0,29,29,7,12,8,37,0,50,22,42,35,9,0,8,0,0,0,0,"$166,266.78"
